Baseline_discharge;Baseline_h_SJSR;Baseline_h_RP;Baseline_slope;alt1_discharge;alt1_h_SJSR;alt1_h_RP;alt1_slope;alt2_discharge;alt2_h_SJSR;alt2_h_RP;alt2_slope;alt3_discharge;alt3_h_SJSR;alt3_h_RP;alt3_slope
2366.915298;31.516051;32.131052;0.000016682076;2387.792245;31.521560;32.13391379;0.000016610256;2396.693589;31.296229;32.003535;0.000019185865;;;;
2372.802898;31.521858;32.137191;0.000016691076;2393.861091;31.528061;32.14045039;0.000016611236;2402.525004;31.302790;32.010033;0.000019184133;;;;
2378.690522;31.527660;32.143320;0.000016699948;2399.926948;31.534548;32.14697206;0.000016612151;2408.359674;31.309341;32.016520;0.000019182431;;;;
2384.584385;31.533463;32.149446;0.000016708700;2405.997168;31.541035;32.1534878;0.000016612950;2414.197028;31.315880;32.022998;0.000019180772;;;;
2390.481444;31.539263;32.155564;0.000016717327;2412.068233;31.547517;32.15999559;0.000016613631;2420.036865;31.322409;32.029468;0.000019179161;;;;
2396.381093;31.545057;32.161673;0.000016725856;2418.138431;31.553994;32.16649198;0.000016614176;2425.877190;31.328927;32.035929;0.000019177605;;;;
2402.283552;31.550846;32.167773;0.000016734286;2424.209619;31.560467;32.17298063;0.000016614581;2431.714683;31.335435;32.042381;0.000019176104;;;;
2408.188560;31.556629;32.173863;0.000016742620;2430.281377;31.566939;32.17946183;0.000016614850;2437.546550;31.341933;32.048825;0.000019174638;;;;
2414.096284;31.562405;32.179943;0.000016750879;2436.351658;31.573406;32.18593399;0.000016614980;2443.374626;31.348424;32.055264;0.000019173226;;;;
2420.006444;31.568172;32.186012;0.000016759087;2442.422059;31.579871;32.19239849;0.000016614967;2449.196653;31.354909;32.061699;0.000019171863;;;;
2425.917604;31.573928;32.192069;0.000016767228;2448.489803;31.586331;32.19885347;0.000016614846;2455.017980;31.361396;32.068137;0.000019170547;;;;
2431.829652;31.579674;32.198113;0.000016775311;2454.556088;31.592786;32.2053006;0.000016614627;2460.818124;31.367860;32.074555;0.000019169301;;;;
2437.742765;31.585413;32.204147;0.000016783338;2460.619312;31.599235;32.21173941;0.000016614354;2466.612917;31.374320;32.080971;0.000019168101;;;;
2443.655776;31.591145;32.210173;0.000016791313;2466.679725;31.605679;32.21817322;0.000016614056;2472.397228;31.380773;32.087382;0.000019166953;;;;
2449.568352;31.596870;32.216191;0.000016799252;2472.738018;31.612119;32.22460039;0.000016613721;2478.170281;31.387216;32.093784;0.000019165861;;;;
2455.483014;31.602588;32.222201;0.000016807166;2478.795134;31.618552;32.23102161;0.000016613395;2483.939371;31.393652;32.100183;0.000019164823;;;;
2461.398973;31.608299;32.228203;0.000016815054;2484.850455;31.624979;32.23743663;0.000016613073;2489.709493;31.400081;32.106576;0.000019163862;;;;
2467.316051;31.614004;32.234198;0.000016822925;2490.904106;31.631399;32.24384524;0.000016612778;2495.484229;31.406499;32.112963;0.000019163000;;;;
2473.237522;31.619701;32.240184;0.000016830786;2496.953440;31.637807;32.25024399;0.000016612524;2501.266028;31.412911;32.119343;0.000019162154;;;;
2479.158498;31.625387;32.246161;0.000016838643;2502.999973;31.644204;32.25663428;0.000016612334;2507.055515;31.419310;32.125712;0.000019161339;;;;
2485.079562;31.631063;32.252126;0.000016846507;2509.045083;31.650591;32.26301607;0.000016612188;2512.861620;31.425705;32.132078;0.000019160546;;;;
2491.001960;31.636729;32.258082;0.000016854362;2515.088816;31.656968;32.26938828;0.000016612067;2518.679687;31.432094;32.138437;0.000019159746;;;;
2496.924881;31.642385;32.264027;0.000016862201;2521.132470;31.663333;32.27575006;0.000016611962;2524.511271;31.438474;32.144787;0.000019158930;;;;
2502.849125;31.648031;32.269962;0.000016870020;2527.176939;31.669687;32.28210007;0.000016611856;2530.355608;31.444846;32.151128;0.000019158089;;;;
2505.811794;31.650851;32.272925;0.000016873924;;;;0.000000000000;;;;0.000000000000;;;;
